"chunk_syntagm_id","chunk_id","keyword","syntagmid","createduser","createddate","updateduser","updateddate","deleteduser","deleteddate","isdeleted"
"188","276","answer","11","admin","25/11/2025 15:44:17.661766",,,,,"f"
"189","7003","answer","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"190","11755","answer","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"191","3890","answer","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"192","3923","answer","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"193","150","answer","44","admin","25/11/2025 15:44:17.661766",,,,,"f"
"194","152","answer","44","admin","25/11/2025 15:44:17.661766",,,,,"f"
"195","199","answer","8","admin","25/11/2025 15:44:17.661766",,,,,"f"
"196","947","answer","11","admin","25/11/2025 15:44:17.661766",,,,,"f"
"197","9719","answer","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"198","1075","anyone","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"199","12098","anyone","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"200","3924","anyone","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"201","12399","anyone","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"202","9300","anyone","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"203","5589","anyone","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"204","12382","anyone","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"205","853","anyone","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"206","11011","anyone","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"207","5718","anyone","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"208","6000","anyone","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"209","1587","anything","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"210","1523","apartment","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"211","2769","apartment","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"212","4983","apartment","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"213","1601","apartment","32","admin","25/11/2025 15:44:17.661766",,,,,"f"
"214","7246","apartment","32","admin","25/11/2025 15:44:17.661766",,,,,"f"
"215","1123","apple","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"216","1970","apple","27","admin","25/11/2025 15:44:17.661766",,,,,"f"
"217","2209","apple","27","admin","25/11/2025 15:44:17.661766",,,,,"f"
"218","5863","apple","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"219","7248","apple","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"220","1704","apple","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"221","9269","apple","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"222","4644","apple","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"223","6339","apple","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"224","1605","apple","32","admin","25/11/2025 15:44:17.661766",,,,,"f"
"225","1862","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"226","9904","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"227","1976","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"228","2112","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"229","12484","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"230","12762","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"231","12830","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"232","2924","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"233","2927","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"234","2928","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"235","2964","arm","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"236","254","arm","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"237","7676","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"238","7682","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"239","3048","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"240","9138","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"241","3117","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"242","11382","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"243","3616","arm","27","admin","25/11/2025 15:44:17.661766",,,,,"f"
"244","8021","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"245","4258","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"246","4462","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"247","4936","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"248","5135","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"249","6409","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"250","6455","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"251","8628","arm","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"252","1478","army","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"253","1730","army","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"254","1759","army","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"255","8972","army","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"256","4044","army","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"257","4277","army","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"258","4510","army","20","admin","25/11/2025 15:44:17.661766",,,,,"f"
"259","12417","army","44","admin","25/11/2025 15:44:17.661766",,,,,"f"
"260","5509","army","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"261","5761","army","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"262","6317","army","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"263","1259","art","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"264","11957","art","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"265","10053","art","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"266","8239","art","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"267","1077","article","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"268","7435","article","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"269","10780","article","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"270","7058","article","9","admin","25/11/2025 15:44:17.661766",,,,,"f"
"271","4261","article","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"272","1666","article","32","admin","25/11/2025 15:44:17.661766",,,,,"f"
"273","8718","article","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"274","11751","article","33","admin","25/11/2025 15:44:17.661766",,,,,"f"
"275","644","article","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
